zip_code,total_parcels,residential_parcels,owner_occupied_count,out_of_state_count,foreign_count,fl_corporate_count,trust_count,local_investor_count,homestead_count,large_soh_gap_count,high_conf_investor_pct,all_investor_pct,owner_occupied_pct,median_soh_differential,avg_soh_differential,large_soh_gap_pct,median_appraised_value,avg_owner_tenure_years,median_household_income,median_gross_rent,rent_to_income_ratio,renter_occupied_ratio,population,vacant_unit_ratio,has_acs_data,overdose_rate_2024,overdose_rate_2021,overdose_rate_change
32102,510,347,156,43,1,40,1,106,163,103,12.7,24.5,45.0,106345,106458.079754601227,63.2,274398,12.1283783783783784,null,null,null,null,null,null,false,null,null,null
32114,14148,7934,3720,772,57,1210,34,2128,3771,1774,10.4,26.1,46.9,70914,70056.704057279236,47.0,162712.5,15.3992161254199328,41736,1227,0.353,0.685,37747,0.125,true,6.15,13.33,-7.18
32117,15546,10511,5312,1478,48,1434,29,2202,5334,2464,14.5,28.4,50.5,69838.5,68138.711848518935,46.2,190586,14.8806520473510576,56419,1565,0.333,0.523,30955,0.133,true,4.30,11.27,-6.97
32118,18719,15210,5349,4038,326,1757,57,3666,5369,2645,28.7,40.6,35.2,73180,107449.097969826783,49.3,260867,12.1215957038741849,61266,1330,0.261,0.344,18383,0.388,true,3.75,8.16,-4.41
32119,10106,8433,5373,768,47,654,17,1566,5377,2922,9.7,17.6,63.7,85301,82999.742421424586,54.3,223019,13.8021555042340262,56862,1413,0.298,0.366,22348,0.163,true,3.49,7.79,-4.30
32124,9596,7598,5236,633,30,524,6,1165,5247,2685,8.7,15.7,68.9,77470,87392.893462931199,51.2,371969.5,4.7030315117670523,92616,1304,0.169,0.058,11409,0.090,true,1.23,2.63,-1.40
32127,16402,13706,8663,1418,64,1041,23,2473,8681,5772,10.8,18.6,63.2,120053,136602.626079944707,66.5,298426.5,14.9607023411371237,71676,1409,0.236,0.184,29612,0.185,true,3.07,6.89,-3.82
32128,9818,8572,6623,514,42,379,9,1000,6659,4379,6.5,11.0,77.3,110872,125859.357711368073,65.8,368996,11.5795436664044060,95831,1874,0.235,0.177,22244,0.086,true,1.21,1.98,-0.77
32129,8573,7058,4795,514,24,474,16,1223,4801,2896,7.6,14.6,67.9,96478,87620.593209747969,60.3,243226.5,14.7074169900819319,null,null,null,null,null,null,false,null,null,null
32130,4431,1719,1319,40,2,62,1,294,1500,1082,2.4,6.1,76.7,132019.5,149111.404666666667,72.1,259239,15.9113029827315542,60563,1118,0.222,0.248,5620,0.117,true,2.31,5.69,-3.38
32132,4563,3143,2147,281,1,177,7,525,2183,1420,9.0,14.8,68.3,110858,127787.620705451214,65.0,243882,13.8006773101112724,52181,1166,0.268,0.172,7868,0.136,true,2.16,8.26,-6.10
32136,184,145,75,28,4,7,0,30,75,46,22.1,26.9,51.7,137849,160251.040000000000,61.3,193651,14.6438356164383562,null,null,null,null,null,null,false,null,null,null
32141,10578,8766,6429,676,15,383,16,1243,6462,3764,7.9,12.4,73.3,92868,101788.277932528629,58.2,254686,12.2347670250896057,63936,1474,0.277,0.062,18726,0.100,true,2.40,6.09,-3.69
32168,24907,15074,10714,1122,55,1010,19,2131,11038,7008,7.8,14.6,71.1,113694.5,142225.904874071390,63.5,319618,10.9690851125495121,77083,1686,0.262,0.233,31847,0.114,true,2.14,5.31,-3.17
32169,13394,11493,4274,2252,140,1643,47,3120,4286,3224,20.8,35.5,37.2,201008.5,294413.304946336911,75.2,483000,11.2904070459414425,110968,1723,0.186,0.118,10192,0.521,true,1.57,4.81,-3.24
32174,29491,21066,15680,989,23,1407,27,2921,15752,10313,4.8,11.6,74.4,111917.5,116855.324974606399,65.5,312284,13.2824321647851060,71011,1413,0.239,0.176,54783,0.092,true,2.52,6.44,-3.92
32176,11907,10290,5527,1761,60,734,28,2154,5529,3658,17.7,25.1,53.7,125523,144836.284319045035,66.2,315612.5,13.0326188257222740,78410,1530,0.234,0.163,14841,0.294,true,0.07,6.67,-6.60
32180,3643,1094,726,25,0,34,0,307,960,644,2.3,5.4,66.4,119322,143014.218750000000,67.1,221116.5,16.8994252873563218,77394,981,0.152,0.185,4444,0.121,true,0.23,4.28,-4.05
32190,1254,341,181,13,1,33,0,112,253,122,4.1,13.8,53.1,69656,114110.984189723320,48.2,138136,16.8531073446327684,92222,null,null,0.056,1488,0.149,true,0.00,1.34,-1.34
32713,12996,10605,7890,600,15,417,14,1661,7900,4935,5.8,9.9,74.4,111562.5,111244.197848101266,62.5,325504,11.5972916118853537,88500,1751,0.237,0.129,22884,0.046,true,2.18,4.94,-2.76
32720,17081,11682,8254,502,16,1066,25,1799,8394,5236,4.4,13.8,70.7,104244.5,112953.111031689302,62.4,276645.5,13.0549256739732930,68830,1368,0.239,0.305,36259,0.086,true,4.03,7.92,-3.89
32724,28809,16896,12199,697,113,1472,14,2383,12335,6863,4.8,13.6,72.2,87316,93616.184110255371,55.6,288623.5,10.5614799624028027,73592,1327,0.216,0.222,45140,0.082,true,2.35,5.21,-2.86
32725,23385,19665,14253,1368,48,958,37,2965,14318,8738,7.2,12.3,72.5,106362,100494.914583042324,61.0,254960,12.7917850120166048,73152,1688,0.277,0.213,51987,0.039,true,2.60,6.02,-3.42
32738,21359,18000,13706,1321,53,689,30,2178,13749,8517,7.6,11.6,76.1,118017,106804.413630082188,61.9,260990,13.4797472209532511,80224,1766,0.264,0.178,49368,0.050,true,2.23,4.80,-2.57
32744,3716,1544,1220,32,0,54,1,236,1276,888,2.1,5.6,79.0,120595,128938.340125391850,69.6,266119,15.6322907861369400,112599,1313,0.140,0.176,3634,0.079,true,1.93,7.98,-6.05
32754,467,268,207,4,0,13,0,44,219,151,1.5,6.3,77.2,124093,138970.716894977169,68.9,341647.5,13.4577114427860697,null,null,null,null,null,null,false,null,null,null
32759,7908,1432,945,108,2,75,3,293,1012,593,7.7,13.1,66.0,101284.5,123724.461462450593,58.6,243337,12.6681614349775785,61671,1302,0.253,0.172,3216,0.223,true,6.22,13.06,-6.84
32763,12355,7988,6003,356,4,529,13,1075,6052,3410,4.5,11.3,75.2,92571.5,98896.154494382022,56.3,249309.5,12.2628216197547919,66716,1554,0.280,0.353,24951,0.083,true,2.52,7.21,-4.69
32764,4070,1769,1177,198,0,83,2,308,1353,777,11.2,16.0,66.5,115608,142348.784922394678,57.4,292081,12.0345744680851064,86224,1036,0.144,0.086,2789,0.078,true,3.59,3.94,-0.35
